map_id,route_id,難易度,進捗,monster_id,出現数,内容,攻撃加算,防御加算,出現位置画像
MAP0005,COMMON,狂気,1,M0032|M0033|M0029,1|1|4,コエデカフグ1体、ムキムキフグ1体、蟹兄ぃ4体出現,0,0,
MAP0005,COMMON,狂気,9,M0029,4,蟹兄ぃ4体出現,0,0,
MAP0005,COMMON,狂気,9,,,全モンスターにA+1/D+1,1,1,
MAP0005,COMMON,狂気,16,,,ゲームオーバー,0,0,
MAP0005,SOURI,狂気,分岐時,M0028|M0031,1|2,蒼鯉、金ちゃん2体出現,0,0,
MAP0005,SOURI,狂気,分岐時,,,全モンスターにA+1/D+1,1,1,
MAP0005,SOURI,狂気,蒼鯉のHP半分,M0031,3,金ちゃん3体出現,0,0,
MAP0005,SOURI,狂気,蒼鯉のHP半分,,,全モンスターにA+1/D+1,1,1,
MAP0005,MAMUSHI,狂気,分岐時,M0027|M0030,1|3,真夢梓、蝦兄ぃ3体出現,0,0,
MAP0005,MAMUSHI,狂気,分岐時,,,全モンスターにA+1/D+1,1,1,
MAP0005,MAMUSHI,狂気,真夢梓のHP半分,M0030,2,蝦兄ぃ2体出現,0,0,
MAP0005,MAMUSHI,狂気,真夢梓のHP半分,,,全モンスターにA+1/D+1,1,1,
MAP0006,,普通|困難|悪夢|狂気,1,M0036|M0041|M0037|M0038,1|1|2|1,ガオー、天崩、びっくり箱2体、助手君1体出現,0,0,
MAP0006,,普通|困難|悪夢|狂気,4,M0037|M0038,3|1,びっくり箱3体、助手君1体出現,0,0,
MAP0006,,普通|困難|悪夢|狂気,7,M0040,2,キャンディピニャータ2体出現,0,0,
MAP0006,,普通|困難|悪夢|狂気,7,,,全モンスターにA+1,1,0,
MAP0006,,普通|困難|悪夢|狂気,10,M0037|M0039,2|1,びっくり箱2体、フランケンちゃん1体出現,0,0,
MAP0006,,普通|困難|悪夢|狂気,10,,,全モンスターにA+1/D+1,1,1,
MAP0006,,普通,18,,,ゲームオーバー,0,0,
MAP0006,,普通|困難|悪夢|狂気,天崩撃破,M0039|M0038,1|1,フランケンちゃん1体、助手くん1体出現,0,0,
MAP0006,,普通|困難|悪夢|狂気,天崩撃破,,,全モンスターにD+1,0,1,
MAP0006,,普通|困難|悪夢|狂気,厄兆撃破,M0039|M0038,1|1,フランケンちゃん2体、助手くん1体出現,0,0,
MAP0006,,普通|困難,厄兆撃破,,,全モンスターにA+1/D+1,1,1,
MAP0006,,困難,17,,,ゲームオーバー,0,0,
MAP0006,,悪夢|狂気,16,,,ゲームオーバー,0,0,
MAP0006,,悪夢|狂気,厄兆撃破,,,全キャラクターに改造+2、全モンスターにD+1,0,1,
MAP0104,,普通|困難|悪夢|狂気,1,M0116|M0117|M0025,1|1|3,ゴクチョー、看守、ティーポット3体出現,0,0,Library_Event_01.png
MAP0104,,普通|困難|悪夢|狂気,4,M0118|M0119,3|1,グリーンティーポット3体、大怪盗登場,0,0,Library_Event_04.png
MAP0104,,普通|困難|悪夢|狂気,4,,,全モンスターにA+1/D+1,1,1,Library_Event_04.png
MAP0104,,普通|困難|悪夢|狂気,7,M0117|M0119|M0024,1|1|2,看守、大怪盗、ウィザード2体出現,0,0,Library_Event_07.png
MAP0104,,普通|困難|悪夢|狂気,10,M0117|M0024,1|2,看守、ウィザード2体出現,0,0,Library_Event_10.png
MAP0104,,普通|困難|悪夢|狂気,10,,,全モンスターにA+1/D+1,1,1,Library_Event_10.png
MAP0104,,普通|困難,18,,,ゲームオーバー,0,0,
MAP0104,,悪夢|狂気,17,,,ゲームオーバー,0,0,
