id	name	images	category	effect						
38	忍術手裏剣	038_忍術手裏剣.png	マーク	カード使用数+1、ダメージ系効果カードを使用した場合、目標モンスターに【マーク】スタック数と同じ数のダメージを与える。						
39	標的	039_標的.png	マーク	攻撃力+1。ターン開始時、4マス以内で最も近いモンスターに【マーク】スタックを1付与する。						
40	魔法の矢袋	040_魔法の矢袋.png	マーク	【マーク】されたモンスターに対してカードを使用した場合、使用したカードを手札に戻し、目標のモンスターに【マーク】を1つ付与（1ターンに1度）。						
41	手持ち扇風機-大	041_手持ち扇風機-大.png	マーク	スキル使用後、カードを1枚獲得、6マス以内のモンスターに【マーク】1つ付与。						
42	カッターナイフ-ベーシック	042_カッターナイフ-ベーシック.png	ヒール	HPが満タン時、攻撃力+2、それに加えて攻撃時に【ヒール】スタック数と同じ数の攻撃力が上昇。						
43	カッターナイフ-シャープ	043_カッターナイフ-シャープ.png	ヒール	HPが満タン時、攻撃力+4、それに加えて攻撃時に【ヒール】スタック数と同じ数の攻撃力が上昇。						
44	救急箱-緊急治療	044_救急箱-緊急治療.png	ヒール	ターン開始時、【ヒール】スタック+1。						
45	救急箱-完備治療	045_救急箱-完備治療.png	ヒール	ターン開始時、【ヒール】スタック+3。						
46	ビタミン剤	046_ビタミン剤.png	ヒール	カードを獲得するたび、【ヒール】スタック+1。						
47	おいしいキャンディー	047_おいしいキャンディー.png	ヒール	カードを使用した後、【ヒール】を1スタック獲得する。カードを使用した後、HPが満タンの場合、このターンのカード使用数+1（毎ターン最大1回発動）						
48	トンポーロウ	048_トンポーロウ.png	ヒール	ターン開始時、周囲5マス以内の全員の【ヒール】スタック+1、HP+1。						
49	バッファーシールド	049_バッファーシールド.png	ヒール	攻撃を受けるたび、【ヒール】スタック+2、スターコイン+3。						
50	友情バッジ	050_友情バッジ.png	ヒール	味方に治療や振り込みを行った際に、味方と同時に【ヒール】スタック+2。						
51	エネルギー回収	051_エネルギー回収.png	チャージ	ダイスの出目が5貯まるごとに、【チャージ】を2獲得する。【チャージ】が5より大きい時、移動力+1。						
52	エナジーソード	052_エナジーソード.png	チャージ	攻撃命中ごとに【チャージ】を2獲得する。【チャージ】が7より大きい時、攻撃力+2。						
53	ワープエンジン	053_ワープエンジン.png	チャージ	突撃ゲートまたは疾走マスに止まった時、【チャージ】を2獲得し、次の移動時に移動力+2。						
54	電撃グローブ	054_電撃グローブ.png	チャージ	効果カードを使用した時、【チャージ】を2スタック獲得する。ターン終了時、チャージを4消費して、自身から2マス以内の全モンスターに2ダメージを与える。						
55	エアバッグ	055_エアバッグ.png	チャージ	現在HPを超えるダメージを受ける場合、【チャージ】を6消費してそのダメージを0にする。ダメージを受けた後、【チャージ】を1獲得する。						
56	ライトニングコア	056_ライトニングコア.png	チャージ	スキル使用後、このターンのカード使用数+1、【チャージ】を5消費し、スキルのCT-1。						
57	永久機関	057_永久機関.png	チャージ	移動力+2。ターン開始時、自身の【チャージ】が6未満の場合、【チャージ】を6にする。						
58	レールガン	058_レールガン.png	チャージ	攻撃力+2。モンスターに挑戦した後、【チャージ】を4消費して、対象がいるマスの全モンスターに現在の攻撃力の50%分のダメージを与える。						
101	ギガントアンカー	101_ギガントアンカー.png	共通	ダメージを受けるたびに、攻撃力+1。ターン開始時、このチップによる攻撃力ボーナス-1。						
102	トライデント	102_トライデント.png	共通	スキル使用時、味方キャラ1名に攻撃力+1、防御力+1。（この効果は単体対象に重複発動しない）						
103	夢想号プラモデル	103_夢想号プラモデル.png	共通	移動力+2。ダイスの出目累計15ごとに、スキルCT-1。						
111	呪いの剣	111_呪いの剣.png	共通	呪い：モンスターを撃破するたびに、攻撃力+1を得る。						
112	復讐の戟	112_復讐の戟.png	共通	【青き呪い】状態になった間：攻撃力+5、【赤き呪い】状態になった間：防御力+5。						
113	貫通の銃	113_貫通の銃.png	共通	効果カードが目標モンスターの防御力と同じの数のダメージを追加で出る。						
121	大鉦	121_大鉦.png	共通	スキル使用後、4マス以内の全キャラクターの攻撃力+1、受けるダメージ-1、1ターン継続。						
122	お年玉	122_お年玉.png	共通	爆竹使用後、カード使用数+1。振り込み後、爆竹を1枚獲得。爆竹3枚使用するごとに、全キャラクターにランダムで最大3種類の新春祝福を獲得。						
131	紅茶にケーキ	131_紅茶にケーキ.png	共通	攻撃力+1。ティーポットを攻撃する時に、攻撃力+1、防御力+1（1ターン継続）。						
132	古の魔法杖	132_古の魔法杖.png	共通	全ての効果カードの効果距離+3、カード使用数+1。						
133	精良な装備セット	133_精良な装備セット.png	共通	攻撃力+4、【問題生徒】になった時、防御力+4。						
141	荒波の御守り	141_荒波の御守り.png	共通	効果カード使用時、1ダメージを受ける。カードを獲得時、HP1回復する。						
142	幻のシーフードスープ	142_幻のシーフードスープ.png	共通	戦闘中のダイスの出目は1か6になる。						
143	無限の蛇	143_無限の蛇.png	共通	ターン開始時、手札を8までドローする、カード使用数+1。						
144	陰陽鯉	144_陰陽鯉.png	共通	反撃無効を得る、攻撃時、ダイスの出目を6に固定する。						
145	蛇のぬいぐるみ	145_蛇のぬいぐるみ.png	共通	ダメージを受ける後、このターンで受けるダメージ-2、攻撃力+2。						
146	鯉のぬいぐるみ	146_鯉のぬいぐるみ.png	共通	スキル使用後、反撃1回得る、反撃時、攻撃力+1永続、防御力+1永続を得る。						
151	タイマー	151_タイマー.png	共通	改造を得る時、追加で1スタック獲得する。改造スタック2つにつき、攻撃力+1。						
152	復活人形	152_復活人形.png	共通	撃破された後、進捗バーへの影響を無くす。攻撃力、防御力、最大HP上限+1。						
153	キャンディー会員証	153_キャンディー会員証.png	共通	怪奇飴カードの値段を3コインにする。怪奇飴カードを使用時、CT-1。						
161	彩り羽のブレスレット	161_彩り羽のブレスレット.png	共通	スキル使用後、彩りの羽を1枚獲得する。彩りの羽を3枚使った後、強化チップを1個獲得する。						
162	オシドリペンダント	162_オシドリペンダント.png	共通	【鴛鴦連理】を持つ時、移動力+2。【鴛鴦連理】解除時、攻撃力、防御力+1。（永続）						
163	孔雀の扇子	163_孔雀の扇子.png	共通	攻撃命中後、自身が【ジェントル・フレイム】2スタック獲得する。戦闘に挑まれた時、【ジェントル・フレイム】3スタック消耗し、反撃1スタック獲得、さらにHP3回復する。						
201	スタンガン	201_スタンガン.png	共通	エリートユニットを撃破した後、【マインド】を1スタック獲得する。【マインド】のスタック数が3以上の場合、攻撃力+2、防御力+2。						
202	スポーツリストバンド	202_スポーツリストバンド.png	共通	攻撃力+1。攻撃時、防御側の移動力が変化している場合、追加で攻撃力+4。						
203	懐中時計	203_懐中時計.png	共通	スタンされた後の次のラウンド開始時、即座に復活する。そのラウンドのモンスター行動時、全てのモンスターが時間停止状態になる。その後、懐中時計は「懐中時計（破損）」に変化する。						
204	懐中時計（破損）	204_懐中時計（破損）.png	共通	元の機能を失ってしまったようで、修復は不可能に見える。						
205	アダプティブコア	205_アダプティブコア.png	共通	マインドが3スタック以下の時、受けるダメージ-1。マインドが3スタック以上の時、攻撃力+2。						
206	エンタメターミナル	206_エンタメターミナル.png	共通	攻撃力+4、防御力+4。ターン終了時、マインドスタック-1。						
207	原初の意識	207_原初の意識.png	共通	マインド増加時、最大HP+1（永続）。マインド減少時、攻撃力+1（永続）。						
211	虫眼鏡	211_虫眼鏡.png	共通	【罪証】を1スタック保有するごとに、攻撃力+1、防御力+1（最大4スタック）。						
212	ハンナの人形	212_ハンナの人形.png	共通	振り込み後、【罪証】を1スタック獲得する。ターン終了時、自身の【罪証】スタック数×2のスターコインを獲得する。						
