"rule_id","chip_id","kind","target","formula","value","source_key","unit","source_cap","min_value","condition","trigger","duration","recipient"
"R052","146","modifier","atk","per_stack","1","反撃による永続ボーナス","","","","","while_owned","while_owned","self"
"R053","146","modifier","def","per_stack","1","反撃による永続ボーナス","","","","","while_owned","while_owned","self"
"R054","151","modifier","atk","floor_per_unit","1","改造","2","","","","while_owned","while_owned","self"
"R055","152","modifier","atk","fixed","1","","","","","","while_owned","while_owned","self"
"R056","152","modifier","def","fixed","1","","","","","","while_owned","while_owned","self"
"R057","152","modifier","max_hp","fixed","1","","","","","","while_owned","while_owned","self"
"R058","162","modifier","move","fixed","2","","","","","鴛鴦連理","while_owned","while_owned","self"
"R059","162","counter_delta","鴛鴦連理解除ボーナス","fixed","1","","","","","","on_bond_removed","permanent","self"
"R060","162","modifier","atk","per_stack","1","鴛鴦連理解除ボーナス","","","","","while_owned","while_owned","self"
"R061","162","modifier","def","per_stack","1","鴛鴦連理解除ボーナス","","","","","while_owned","while_owned","self"
"R063","201","modifier","atk","fixed","2","","","","","マインド>=3","while_owned","while_owned","self"
"R064","201","modifier","def","fixed","2","","","","","マインド>=3","while_owned","while_owned","self"
"R065","202","modifier","atk","fixed","1","","","","","","while_owned","while_owned","self"
"R066","202","modifier","atk","fixed","4","","","","","対象の移動力変化","on_attack","this_attack","self"
"R067","205","modifier","atk","fixed","2","","","","","マインド>=3","while_owned","while_owned","self"
"R068","206","modifier","atk","fixed","4","","","","","","while_owned","while_owned","self"
"R069","206","modifier","def","fixed","4","","","","","","while_owned","while_owned","self"
"R070","207","counter_delta","マインド増加ボーナス","fixed","1","","","","","","on_mind_increase","permanent","self"
"R071","207","modifier","max_hp","per_stack","1","マインド増加ボーナス","","","","","while_owned","while_owned","self"
"R072","207","counter_delta","マインド減少ボーナス","fixed","1","","","","","","on_mind_decrease","permanent","self"
"R073","207","modifier","atk","per_stack","1","マインド減少ボーナス","","","","","while_owned","while_owned","self"
"R074","211","modifier","atk","per_stack","1","罪証","","4","","","while_owned","while_owned","self"
"R075","211","modifier","def","per_stack","1","罪証","","4","","","while_owned","while_owned","self"
